"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI"
"04-01-2012 21:00",0,0,25,1010,87.18,1.8,0
"26-09-2014 02:00",0,0,27,1000,93.81,1.3,0
"27-12-2011 23:00",0,0,22,1010,65.9,3.6,0
"13-12-2012 00:00",0,0,25,1010,88.97,1.3,0
"20-03-2012 01:00",0,0,26,1000,80.54,2.9,0
"07-04-2011 19:00",0,0,27,1010,71.26,2.8,0
"08-12-2012 01:00",0,0,25,1010,84.91,1.9,0
"22-06-2013 04:00",0,0,28,1000,71.03,4.2,0
"05-08-2011 12:00",262,617,33,1000,56.85,3.4,877
"08-10-2012 20:00",0,0,27,1000,80.21,2.1,0
"08-04-2013 00:00",0,0,28,1000,85.87,3,0
"01-08-2013 07:00",150,71,29,1000,60.57,4.5,177
"01-11-2014 09:00",221,592,27,1010,85.88,4.1,642
"03-12-2014 00:00",0,0,25,1010,84.62,1.5,0
"13-06-2012 17:00",92,230,32,1000,47.51,4.4,148
"30-07-2014 20:00",0,0,29,1000,72.87,3.9,0
"07-01-2012 18:00",0,0,25,1010,83.1,2.2,0
"30-06-2011 14:00",202,667,40,1000,26.72,0.3,755
"19-11-2011 19:00",0,0,25,1010,75.23,3.1,0
"31-10-2013 22:00",0,0,26,1010,90.71,2.2,0
"30-05-2011 18:00",0,0,31,1000,73.22,1.9,0
"25-07-2013 16:00",201,73,32,1000,54.01,4.2,237
"04-09-2012 16:00",169,24,32,1000,65.05,2.9,180
"22-11-2012 03:00",0,0,26,1000,94.22,2,0
"21-06-2011 19:00",0,0,32,1000,54.63,0.7,0
"14-07-2013 13:00",219,697,34,1000,50.9,2.6,875
"22-09-2011 15:00",240,376,32,1000,59.12,2,466
"18-02-2014 00:00",0,0,25,1010,86.06,1.9,0
"24-08-2014 08:00",251,49,28,1000,87.86,0.9,280
"16-05-2013 12:00",415,350,39,1000,35.04,1.3,762
"16-09-2014 18:00",0,0,28,1000,84.41,1.8,0
"21-04-2013 03:00",0,0,27,1000,92.05,3.7,0
"26-10-2014 06:00",34,0,26,1010,92.21,1.3,34
"11-12-2011 19:00",0,0,26,1010,83.99,2.6,0
"04-02-2012 13:00",308,543,31,1010,39.5,2.7,760
"16-07-2011 22:00",0,0,28,1000,76.91,4.6,0
"20-01-2014 14:00",254,547,28,1010,56.6,3.1,634
"13-01-2012 21:00",0,0,23,1010,78.91,3.8,0
"18-01-2012 10:00",169,802,29,1010,49,0.7,755
"06-07-2014 20:00",0,0,30,1000,76.34,1.7,0
"05-07-2012 19:00",0,0,34,1000,52.64,1.9,0
"06-01-2013 09:00",182,613,29,1010,66.06,1.9,544
"23-03-2014 19:00",0,0,28,1000,59.17,2.9,0
"20-06-2011 00:00",0,0,29,1000,61.63,5.2,0
"11-02-2012 07:00",89,200,27,1010,71.47,1.3,133
"04-06-2014 11:00",232,681,32,1000,69.08,0.8,896
"23-01-2013 15:00",177,605,29,1010,45.19,3.2,509
"01-08-2012 13:00",359,359,39,1000,27.74,3.9,700
"12-08-2014 02:00",0,0,26,1000,81.57,3.9,0
"29-04-2011 22:00",0,0,28,1000,90,2.3,0
"28-10-2014 13:00",203,702,29,1000,76.91,1.7,775
"29-04-2013 19:00",0,0,29,1000,79.17,3.2,0
